Round;License;Bidder ID;Bid (DEM);Bid (millions USD);Bidder
1;1;T;100;51.487;T-Mobil
1;2;T;100;51.487;T-Mobil
1;3;T;100;51.487;T-Mobil
1;4;mobi;501;257.94987;Mobilcom
1;5;mobi;501;257.94987;Mobilcom
1;6;M;150;77.2305;Mannesmann-Vodafone
1;7;3G;100;51.487;Group 3G
1;8;;0;0;[No bids]
1;9;eplus;100;51.487;E-Plus
1;10;;0;0;[No bids]
1;11;;0;0;[No bids]
1;12;;0;0;[No bids]
2;1;T;100;51.487;T-Mobil
2;2;T;100;51.487;T-Mobil
2;3;T;100;51.487;T-Mobil
2;4;mobi;501;257.94987;Mobilcom
2;5;mobi;501;257.94987;Mobilcom
2;6;M;150;77.2305;Mannesmann-Vodafone
2;7;3G;100;51.487;Group 3G
2;8;eplus;100;51.487;E-Plus
2;9;eplus;100;51.487;E-Plus
2;10;viag;100;51.487;Viag Interkom
2;11;M;150;77.2305;Mannesmann-Vodafone
2;12;M;150;77.2305;Mannesmann-Vodafone
3;1;3G;110;56.6357;Group 3G
3;2;3G;110;56.6357;Group 3G
3;3;T;100;51.487;T-Mobil
3;4;mobi;501;257.94987;Mobilcom
3;5;mobi;501;257.94987;Mobilcom
3;6;M;150;77.2305;Mannesmann-Vodafone
3;7;viag;111;57.15057;Viag Interkom
3;8;viag;111;57.15057;Viag Interkom
3;9;debi;110;56.6357;Debitel
3;10;viag;100;51.487;Viag Interkom
3;11;M;150;77.2305;Mannesmann-Vodafone
3;12;M;150;77.2305;Mannesmann-Vodafone
125;1;eplus;5117.2;2634.692764;E-Plus
125;2;eplus;5129.7;2641.128639;E-Plus
125;3;eplus;4989;2568.68643;E-Plus
125;4;debi;4897;2521.31839;Debitel
125;5;viag;4730;2435.3351;Viag Interkom
125;6;mobi;4700;2419.889;Mobilcom
125;7;mobi;4880;2512.5656;Mobilcom
125;8;debi;4870;2507.4169;Debitel
125;9;M;4872.3;2508.601101;Mannesmann-Vodafone
125;10;viag;4992.1;2570.282527;Viag Interkom
125;11;T;4947.2;2547.164864;T-Mobil
125;12;M;4987.3;2567.811151;Mannesmann-Vodafone
126;1;eplus;5117.2;2634.692764;E-Plus
126;2;eplus;5129.7;2641.128639;E-Plus
126;3;eplus;4989;2568.68643;E-Plus
126;4;mobi;5400;2780.298;Mobilcom
126;5;3G;5203;2678.86861;Group 3G
126;6;mobi;5200;2677.324;Mobilcom
126;7;T;5368;2763.82216;T-Mobil
126;8;3G;5357;2758.15859;Group 3G
126;9;M;4872.3;2508.601101;Mannesmann-Vodafone
126;10;viag;4992.1;2570.282527;Viag Interkom
126;11;T;4947.2;2547.164864;T-Mobil
126;12;M;4987.3;2567.811151;Mannesmann-Vodafone
133;1;mobi;6200;3192.194;Mobilcom
133;2;viag;6207;3195.79809;Viag Interkom
133;3;3G;6060;3120.1122;Group 3G
133;4;M;5940;3058.3278;Mannesmann-Vodafone
133;5;M;5723.6;2946.909932;Mannesmann-Vodafone
133;6;M;6296.6;3241.930442;Mannesmann-Vodafone
133;7;3G;6060;3120.1122;Group 3G
133;8;eplus;5892.7;3033.974449;E-Plus
133;9;T;5895.6;3035.467572;T-Mobil
133;10;eplus;6040.6;3110.123722;E-Plus
133;11;T;6060;3120.1122;T-Mobil
133;12;mobi;6050;3114.9635;Mobilcom
134;1;mobi;6200;3192.194;Mobilcom
134;2;viag;6207;3195.79809;Viag Interkom
134;3;3G;6060;3120.1122;Group 3G
134;4;M;5940;3058.3278;Mannesmann-Vodafone
134;5;eplus;6396.1;3293.160007;E-Plus
134;6;M;6296.6;3241.930442;Mannesmann-Vodafone
134;7;3G;6060;3120.1122;Group 3G
134;8;eplus;5892.7;3033.974449;E-Plus
134;9;T;5895.6;3035.467572;T-Mobil
134;10;eplus;6040.6;3110.123722;E-Plus
134;11;T;6060;3120.1122;T-Mobil
134;12;mobi;6050;3114.9635;Mobilcom
137;1;mobi;6200;3192.194;Mobilcom
137;2;viag;6207;3195.79809;Viag Interkom
137;3;3G;6060;3120.1122;Group 3G
137;4;T;6666;3432.12342;T-Mobil
137;5;eplus;6296.1;3241.673007;E-Plus
137;6;M;6296.6;3241.930442;Mannesmann-Vodafone
137;7;T;6666;3432.12342;T-Mobil
137;8;mobi;6482;3337.38734;Mobilcom
137;9;eplus;6485.3;3339.086411;E-Plus
137;10;viag;6644.7;3421.156689;Viag Interkom
137;11;T;6060;3120.1122;T-Mobil
137;12;M;6666;3432.12342;Mannesmann-Vodafone
138;1;mobi;6200;3192.194;Mobilcom
138;2;viag;6207;3195.79809;Viag Interkom
138;3;3G;6696;3447.56952;Group 3G
138;4;T;6666;3432.12342;T-Mobil
138;5;eplus;6296.1;3241.673007;E-Plus
138;6;M;6296.6;3241.930442;Mannesmann-Vodafone
138;7;T;6666;3432.12342;T-Mobil
138;8;mobi;6482;3337.38734;Mobilcom
138;9;eplus;6485.3;3339.086411;E-Plus
138;10;viag;6644.7;3421.156689;Viag Interkom
138;11;3G;6696;3447.56952;Group 3G
138;12;M;6666;3432.12342;Mannesmann-Vodafone
139;1;T;6510;3351.8037;T-Mobil
139;2;mobi;6517.4;3355.613738;Mobilcom
139;3;3G;6696;3447.56952;Group 3G
139;4;T;6666;3432.12342;T-Mobil
139;5;eplus;6296.1;3241.673007;E-Plus
139;6;M;6296.6;3241.930442;Mannesmann-Vodafone
139;7;T;6666;3432.12342;T-Mobil
139;8;mobi;6482;3337.38734;Mobilcom
139;9;eplus;6485.3;3339.086411;E-Plus
139;10;viag;6644.7;3421.156689;Viag Interkom
139;11;3G;6696;3447.56952;Group 3G
139;12;M;6666;3432.12342;Mannesmann-Vodafone
140;1;T;6510;3351.8037;T-Mobil
140;2;mobi;6517.4;3355.613738;Mobilcom
140;3;3G;6696;3447.56952;Group 3G
140;4;T;6666;3432.12342;T-Mobil
140;5;eplus;6611.1;3403.857057;E-Plus
140;6;M;6296.6;3241.930442;Mannesmann-Vodafone
140;7;T;6666;3432.12342;T-Mobil
140;8;mobi;6482;3337.38734;Mobilcom
140;9;eplus;6485.3;3339.086411;E-Plus
140;10;viag;6644.7;3421.156689;Viag Interkom
140;11;3G;6696;3447.56952;Group 3G
140;12;M;6666;3432.12342;Mannesmann-Vodafone
145;1;M;6835.5;3519.393885;Mannesmann-Vodafone
145;2;M;6843.6;3523.564332;Mannesmann-Vodafone
145;3;3G;6696;3447.56952;Group 3G
145;4;T;6666;3432.12342;T-Mobil
145;5;eplus;6941.8;3574.124566;E-Plus
145;6;mobi;6950;3578.3465;Mobilcom
145;7;viag;6999.4;3603.781078;Viag Interkom
145;8;M;7146.6;3679.569942;Mannesmann-Vodafone
145;9;eplus;6809.7;3506.110239;E-Plus
145;10;viag;6644.7;3421.156689;Viag Interkom
145;11;3G;6696;3447.56952;Group 3G
145;12;T;6999.5;3603.832565;T-Mobil
146;1;M;6835.5;3519.393885;Mannesmann-Vodafone
146;2;M;6843.6;3523.564332;Mannesmann-Vodafone
146;3;3G;6696;3447.56952;Group 3G
146;4;mobi;6999.6;3603.884052;Mobilcom
146;5;eplus;6941.8;3574.124566;E-Plus
146;6;T;7297.5;3757.263825;T-Mobil
146;7;viag;6999.4;3603.781078;Viag Interkom
146;8;M;7146.6;3679.569942;Mannesmann-Vodafone
146;9;eplus;6809.7;3506.110239;E-Plus
146;10;viag;6644.7;3421.156689;Viag Interkom
146;11;3G;6696;3447.56952;Group 3G
146;12;T;6999.5;3603.832565;T-Mobil
147;1;M;6835.5;3519.393885;Mannesmann-Vodafone
147;2;M;6843.6;3523.564332;Mannesmann-Vodafone
147;3;3G;6696;3447.56952;Group 3G
147;4;mobi;6999.6;3603.884052;Mobilcom
147;5;eplus;6941.8;3574.124566;E-Plus
147;6;T;7297.5;3757.263825;T-Mobil
147;7;viag;6999.4;3603.781078;Viag Interkom
147;8;M;7146.6;3679.569942;Mannesmann-Vodafone
147;9;eplus;6809.7;3506.110239;E-Plus
147;10;T;7001.7;3604.965279;T-Mobil
147;11;3G;6696;3447.56952;Group 3G
147;12;T;6999.5;3603.832565;T-Mobil
166;1;viag;7914.5;4074.938615;Viag Interkom
166;2;mobi;7939;4087.55293;Mobilcom
166;3;T;7777.7;4004.504399;T-Mobil
166;4;M;8141.7;4191.917079;Mannesmann-Vodafone
166;5;viag;8036.9;4137.958703;Viag Interkom
166;6;M;8045.6;4142.438072;Mannesmann-Vodafone
166;7;3G;8141.4;4191.762618;Group 3G
166;8;eplus;8274.3;4260.188841;E-Plus
166;9;mobi;7883.7;4059.080619;Mobilcom
166;10;eplus;8143.9;4193.049793;E-Plus
166;11;M;8143.8;4192.998306;Mannesmann-Vodafone
166;12;3G;8141.4;4191.762618;Group 3G
167;1;viag;8310.4;4278.775648;Viag Interkom
167;2;mobi;7939;4087.55293;Mobilcom
167;3;T;8166.6;4204.737342;T-Mobil
167;4;M;8141.7;4191.917079;Mannesmann-Vodafone
167;5;viag;8036.9;4137.958703;Viag Interkom
167;6;M;8045.6;4142.438072;Mannesmann-Vodafone
167;7;3G;8141.4;4191.762618;Group 3G
167;8;eplus;8274.3;4260.188841;E-Plus
167;9;T;8277.9;4262.042373;T-Mobil
167;10;eplus;8143.9;4193.049793;E-Plus
167;11;M;8143.8;4192.998306;Mannesmann-Vodafone
167;12;3G;8141.4;4191.762618;Group 3G
173;1;viag;8310.4;4278.775648;Viag Interkom
173;2;mobi;8170;4206.4879;Mobilcom
173;3;M;8330;4288.8671;Mannesmann-Vodafone
173;4;3G;8304.6;4275.789402;Group 3G
173;5;mobi;8200;4221.934;Mobilcom
173;6;viag;8206.6;4225.332142;Viag Interkom
173;7;T;8304.3;4275.634941;T-Mobil
173;8;eplus;8274.3;4260.188841;E-Plus
173;9;T;8277.9;4262.042373;T-Mobil
173;10;eplus;8143.9;4193.049793;E-Plus
173;11;M;8143.8;4192.998306;Mannesmann-Vodafone
173;12;3G;8141.4;4191.762618;Group 3G